Ano,Codigo do municipio,Municipio,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF,Total
2021,351907,HORTOLANDIA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,-,-,-,-,-,-,-,394,
2021,351910,IACANGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,351920,IACRI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,26,
2021,351925,IARAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,31,
2021,351930,IBATE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3,
2021,351940,IBIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,16,
2021,351950,IBIRAREMA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,62,
2021,351960,IBITINGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,-,-,-,-,-,-,-,89,
2021,351970,IBIUNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,
2021,351980,ICEM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,129,-,-,-,-,-,-,-,129,
2021,351990,IEPE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,
2021,352000,IGARACU DO TIETE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,
2021,352010,IGARAPAVA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,352020,IGARATA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,
2021,352030,IGUAPE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,14,
2021,352040,ILHABELA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,957,-,-,-,-,-,-,-,957,
2021,352042,ILHA COMPRIDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,352044,ILHA SOLTEIRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,577,-,-,-,-,-,-,-,577,
2021,352050,INDAIATUBA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,-,-,-,-,-,-,-,92,
2021,352060,INDIANA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4,
2021,352070,INDIAPORA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,490,-,-,-,-,-,-,-,490,
2021,352080,INUBIA PAULISTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,
2021,352090,IPAUSSU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,21,
2021,352100,IPERO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,426,-,-,-,-,-,-,-,426,
2021,352110,IPEUNA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-,18,
2021,352115,IPIGUA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,245,-,-,-,-,-,-,-,245,
2021,352120,IPORANGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,
2021,352130,IPUA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4,
2021,352140,IRACEMAPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,-,-,-,-,-,-,-,400,
2021,352150,IRAPUA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,13,
2021,352160,IRAPURU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260,-,-,-,-,-,-,-,260,
2021,352170,ITABERA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,23,
2021,352180,ITAI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,-,-,-,-,-,-,-,159,
2021,352190,ITAJOBI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,-,-,-,-,-,-,-,93,
2021,352200,ITAJU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,
2021,352210,ITANHAEM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,937,-,-,-,-,-,-,-,937,
2021,352220,ITAPECERICA DA SERRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,25,
2021,352230,ITAPETININGA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1650,-,-,-,-,-,-,-,1650,
2021,352240,ITAPEVA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,381,-,-,-,-,-,-,-,381,
2021,352250,ITAPEVI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,10,
